src,dst,count
N,SP,62032
CH,M,42332
NG,R,51436
NG,ST,37801
E,P,162401
S,ST,119205
ST,S,26179
L,M,104496
O,V,64261
S,R,130279
U,BL,45192
CH,S,166632
BL,A,65923
TZ,U,88108
UE,G,104264
T,N,87104
PF,I,24369
W,ECK,38309
E,A,190945
O,KR,38279
L,UE,99931
B,S,83419
R,V,99797
E,O,126936
ST,ECK,20665
ECK,E,117899
TZ,D,10678
A,UE,171098
R,SP,63242
UE,NG,18827
ST,V,19707
E,X,119051
X,T,25253
CH,F,39683
SCH,UE,51275
F,S,48645
P,H,177282
PF,L,73666
N,B,226384
BL,U,33962
I,Z,161729
G,N,131405
K,S,113173
L,ST,45033
U,TZ,67481
PF,E,124701
UE,TZ,59040
L,H,48738
K,UE,104990
ST,L,87083
D,S,79382
B,SCH,67355
CH,I,83948
N,R,114554
B,H,52108
NG,I,32645
G,S,80199
T,F,70522
B,UE,86908
E,BL,30581
P,I,138244
CH,R,58527
D,P,13840
S,F,111704
I,V,241855
S,G,188991
P,Z,11874
L,Z,88118
A,BL,41233
D,M,36160
G,UE,44285
E,UE,106616
QU,E,49383
D,G,35675
UE,LT,20730
LT,I,59560
S,SCH,72122
S,SP,22369
T,D,25378
D,ECK,41188
R,PF,21800
UE,BL,8986
PF,A,28203
E,KR,33806
T,M,54517
K,H,26532
SP,UE,12136
G,Z,11890
UE,F,26394
S,K,154494
B,G,52102
B,J,29902
NG,A,37185
F,B,33752
Z,L,35685
M,F,33793
J,UE,13979
UE,D,48032
LT,KR,6702
Y,O,15506
NG,T,25655
J,O,67441
I,U,95829
T,KR,11191
T,V,25791
K,M,22473
SCH,M,76147
T,B,64169
S,M,201063
X,I,53075
H,UE,33650
F,H,27551
SCH,H,7368
A,X,25780
ST,H,28076
A,J,20346
M,G,36889
SP,E,80154
F,M,29761
M,K,28026
D,W,59909
F,ST,25421
UE,T,66091
L,W,25493
U,V,32729
D,SCH,37678
K,K,22498
U,U,22324
K,F,20138
B,T,48663
