src,dst,count
IL,I,127060
T,AR,62774
H,AR,122843
AR,D,209111
S,K,93650
P,S,116077
V,OL,53158
OL,V,35262
W,TH,11889
D,AR,42608
C,US,63753
R,W,33903
I,ST,277734
M,R,14972
O,AR,22545
C,OL,98889
E,HI,25226
HI,N,66624
T,M,51218
G,U,167276
ION,S,266662
A,P,360556
IL,S,28006
LT,S,16509
S,ION,153908
H,OL,80487
S,OL,63055
A,U,168409
U,G,75220
G,US,14892
OL,S,22142
PR,A,34626
N,N,203453
E,B,78513
Y,P,43924
U,Y,23757
ST,M,20702
Y,TH,22293
B,IL,82073
P,PR,47676
TH,US,12482
W,R,56360
L,V,24625
G,ION,22619
AR,M,59855
E,U,62228
D,V,56126
K,IL,30642
I,Z,95505
Z,E,87647
ST,S,77922
TH,U,15438
RS,D,9345
ST,Y,19999
Y,L,38691
O,Y,86649
Y,A,35679
R,US,42457
S,D,24874
D,N,28098
M,PR,42463
HI,E,27319
G,AR,46162
S,CR,47395
CR,I,77304
S,F,35434
AR,N,48285
N,ION,17881
RS,ION,15542
N,J,34548
B,J,26058
LT,U,21000
K,L,29575
Y,I,71711
S,L,89004
I,Q,22955
W,L,26346
D,G,64262
AR,A,83786
ION,SH,16227
SH,I,87279
I,P,162612
O,X,41027
X,I,64210
GH,L,18884
T,C,78102
A,H,32506
T,B,17042
E,LT,18913
LT,I,34081
ST,ION,19764
US,L,22249
L,K,39817
S,AR,17151
X,E,31447
PH,Y,25015
P,Y,23295
D,L,70489
T,V,10372
F,L,135125
O,IL,18965
V,IL,33409
V,O,84873
PH,O,36713
L,C,32928
ST,I,165578
G,OL,15940
I,I,17109
S,R,20412
A,E,34004
X,C,48352
IL,E,75140
H,R,30206
AR,R,100274
L,US,26808
O,RS,106179
D,M,31921
AR,TH,13616
R,CR,6519
CR,A,42460
R,H,20346
O,BS,20262
V,Y,11642
US,A,19069
S,IL,23037
R,AR,29084
T,N,30983
T,US,10336
B,AR,38115
ST,L,19372
G,G,52398
RS,HI,23725
HI,P,28515
OL,U,46161
L,B,19550
LT,E,22442
A,SH,43809
US,S,32617
S,Q,15736
S,PR,20684
O,PR,8618
L,ST,6136
Y,M,48225
T,F,22855
G,TH,14775
R,P,46182
G,D,9307
E,SH,18347
E,CR,23585
X,U,10895
A,Z,36927
Z,I,23712
I,OL,16576
G,T,12174
H,US,7632
US,B,5428
F,Y,19799
S,W,48150
N,W,15011
Y,C,25377
PH,A,17443
M,ST,6716
X,PR,11537
Z,A,33360
F,IX,8913
IX,E,9370
SH,A,31928
IL,U,4996
O,CR,11450
N,H,25298
H,S,8755
AR,B,19593
N,R,17521
E,H,35777
M,F,11096
P,ION,11685
SH,ION,4422
F,US,12912
R,B,37453
C,S,52456
U,F,33161
IL,V,4384
K,G,4950
B,B,28569
B,C,12283
X,F,4528
IL,W,4823
Y,B,13240
E,PR,29338
B,T,19238
Y,AR,7775
AR,IL,8197
OL,AR,10150
C,Q,10088
I,U,24565
P,D,11517
ION,E,18271
CR,U,17039
A,BS,15063
BS,OL,5675
S,PH,7946
PH,E,23434
US,Y,3336
Z,O,16538
U,BS,26578
F,TH,3349
S,US,27996
P,US,11632
S,N,26139
LT,A,10532
D,W,21178
HI,R,8206
T,ST,3904
T,P,8135
K,Y,18550
P,IL,15500
M,IX,9056
BS,E,19096
H,C,4277
T,G,6250
LT,Y,9585
W,D,8100
TH,L,8895
V,U,5053
L,N,8591
US,H,15317
X,HI,6267
HI,B,9613
D,B,10532
LT,D,2905
K,R,9949
K,A,38084
OL,F,5182
U,PR,4473
BS,T,12690
U,X,8556
PH,IL,13717
IL,O,14487
O,PH,16216
E,PH,11368
TH,OL,5480
R,PR,15665
B,M,11101
K,SH,8073
T,D,5518
RS,AR,3134
Y,R,17726
P,F,4290
RS,A,9993
D,C,11650
B,V,5007
E,J,6965
R,IL,11863
TH,D,6358
ST,OL,5446
K,F,6708
N,P,10203
RS,P,4526
L,SH,3300
N,US,10598
Y,N,26769
S,B,13681
B,N,4574
P,C,8592
I,AR,9687
Y,W,9738
HI,D,5157
IL,K,4305
Y,D,15393
U,O,14446
B,OL,14258
GH,W,3213
N,GH,8063
GH,A,10308
OL,Y,11722
P,TH,2464
G,ST,5303
K,D,5413
IX,TH,1980
N,B,13849
R,GH,3744
S,G,6303
Z,Z,8651
US,P,10118
D,OL,9029
M,N,11834
G,B,5540
N,AR,26268
M,RS,1862
AR,OL,4731
I,CR,7604
D,H,8965
X,Y,4417
Y,G,4808
AR,P,7497
SH,U,5334
K,P,4582
D,Q,2030
D,P,5296
TH,N,2725
K,O,15890
W,C,5984
M,PH,10231
U,V,7251
OL,A,17839
CR,Y,7210
SH,M,6791
J,I,7452
RS,U,5933
US,ION,8358
A,PH,24064
PH,S,2567
OL,K,6679
IX,T,4597
H,M,10033
W,Y,6538
ION,W,1454
OL,N,2441
K,M,3678
US,HI,3758
N,X,3116
O,HI,3961
HI,O,2325
RS,Y,1494
D,J,8335
G,P,3729
K,H,9303
N,Q,8038
N,Z,7339
F,S,12506
OL,T,6209
P,G,4944
A,O,7702
M,OL,8825
PH,R,3402
L,G,11693
TH,M,4605
Z,IL,2503
U,U,1962
HI,G,2089
L,PH,4636
PH,I,17144
D,SH,5624
O,Z,7694
GH,B,8087
US,C,4926
ION,AR,5457
T,TH,1751
E,IL,6466
I,PH,3174
G,M,11182
TH,W,6243
G,F,2661
RS,US,1189
H,D,4396
P,SH,1795
AR,F,3468
A,Q,5385
GH,TH,1645
V,D,1717
L,IX,1647
HI,V,3339
J,P,2033
E,Z,10151
Z,B,1400
P,B,3846
AR,SH,5631
T,Z,6052
N,PR,2870
C,M,3953
N,IX,2096
Z,Y,3628
F,GH,1504
D,F,10644
BS,CR,2610
Y,T,8716
I,W,2566
P,W,2324
O,SH,3570
L,HI,930
SH,OL,1256
M,L,8691
PH,D,926
AR,V,7352
C,D,5232
K,T,4417
N,SH,6721
R,IX,1454
LT,O,4313
E,OL,6975
C,ION,1409
D,IL,4792
W,M,3123
F,B,1288
Y,V,1177
A,AR,1760
C,CR,2085
US,CR,1461
W,T,2121
US,N,1310
IL,R,1311
M,W,2884
AR,W,2786
C,BS,889
M,BS,2707
TH,Y,6835
D,TH,2039
F,C,5001
F,SH,853
C,P,3959
R,PH,3711
I,H,3055
US,K,1931
ST,C,1655
ST,H,3452
BS,O,3318
P,V,1502
V,C,1598
I,J,2988
W,OL,4081
GH,S,2467
ST,G,1117
IX,I,1496
V,S,3269
T,PH,1058
X,IL,1530
G,IL,5368
IL,B,1834
K,U,7599
K,AR,5373
E,US,3462
U,H,2054
ION,I,7971
W,P,2087
I,US,7017
LT,R,2305
W,B,3511
C,Z,1201
Y,SH,737
R,BS,2412
Y,F,2497
OL,PH,1249
PR,OL,1976
W,F,3202
TH,F,1540
TH,C,940
F,M,1539
G,SH,948
E,GH,796
A,A,5823
C,N,2991
TH,Q,888
SH,L,1657
HI,K,1683
X,O,3228
X,H,2933
PR,IX,550
K,TH,744
LT,HI,956
SH,Y,942
F,N,1034
D,PR,932
GH,I,1480
Z,AR,4708
B,H,2941
W,SH,819
V,L,1220
M,TH,525
RS,F,684
D,HI,1860
W,W,1225
PH,AR,2631
T,PR,737
D,T,3280
OL,M,2458
CR,US,2405
M,C,12495
I,Y,1806
IL,ION,605
P,IX,931
M,H,1819
H,Z,1013
F,W,675
O,Q,1429
AR,X,963
U,Z,4713
Z,L,2389
Y,PR,974
PR,US,1206
ST,P,947
H,L,4444
C,V,1184
H,B,1683
BS,C,1377
K,W,4579
P,ST,2142
I,BS,992
Z,U,3508
R,Q,921
N,IL,2713
IX,O,993
US,D,824
P,N,2628
T,SH,1258
W,K,2776
D,ST,3684
F,ST,533
OL,C,1670
U,J,1588
P,K,1538
T,Q,474
US,O,709
H,P,1208
HI,A,2180
Q,A,1136
Y,Z,2192
U,CR,1232
X,B,634
U,PH,2100
L,H,1758
M,SH,926
TH,ST,724
B,W,1455
K,B,2851
M,D,1989
L,Z,1058
TH,T,515
M,K,662
U,W,1053
A,GH,2002
F,P,1218
B,ION,564
Z,H,1915
G,C,1344
H,T,3383
IL,H,1006
SH,V,380
L,IL,2048
RS,C,1487
SH,R,4064
PH,OL,1562
SH,W,1010
CR,OL,682
L,BS,417
HI,LT,609
R,HI,998
LT,AR,741
OL,ST,1388
B,Q,358
Q,I,1172
D,IX,944
M,V,961
V,P,1285
J,D,490
C,F,1673
SH,T,871
F,D,1159
X,W,413
AR,US,821
M,G,1247
D,PH,481
X,Q,362
TH,B,1242
X,M,675
M,T,2372
B,D,4119
R,ION,759
Z,D,358
F,ION,325
SH,B,1295
K,K,1862
IL,G,894
Z,G,376
BS,U,564
TH,P,884
J,AR,2003
IL,N,714
N,HI,1532
J,IL,387
J,R,436
Y,U,3018
ION,N,482
H,ST,505
B,P,1476
RS,B,392
Y,RS,470
B,X,303
AR,ION,378
C,PR,311
V,R,1941
D,Z,465
H,Q,301
D,BS,245
PR,U,1326
B,BS,744
AR,LT,417
A,HI,1091
SH,F,532
H,CR,394
RS,H,1505
K,ST,1484
PR,C,239
S,V,1569
AR,Q,923
C,B,2886
K,C,879
H,W,1547
ST,W,1350
V,W,255
G,W,2783
Y,H,1484
CR,M,212
Q,B,250
W,U,822
P,Z,255
V,F,440
D,K,662
GH,P,243
ST,B,1102
V,V,284
T,K,1146
GH,OL,344
G,K,433
V,H,348
Q,L,388
HI,Z,403
BS,P,514
J,S,483
C,G,2311
SH,N,860
GH,D,221
X,X,1167
U,Q,463
Z,ION,511
X,L,989
TH,G,352
X,V,611
I,PR,632
TH,H,427
Z,S,431
W,ST,474
B,G,765
A,OL,486
P,BS,170
ST,F,537
LT,IL,298
PH,L,378
Y,US,263
C,W,545
T,CR,385
X,US,353
K,OL,563
BS,B,231
RS,K,476
AR,H,1028
AR,ST,412
RS,TH,158
P,PH,246
OL,SH,299
Q,C,314
Y,K,639
HI,TH,200
P,CR,196
Y,PH,1337
Y,Y,453
BS,A,219
GH,Z,138
J,OL,494
Q,R,254
RS,M,191
OL,B,795
ST,N,489
X,ION,268
Z,R,279
RS,S,210
L,OL,554
CR,C,196
TH,IL,204
HI,J,432
C,ST,285
LT,Z,311
GH,SH,134
F,G,494
PH,P,120
F,X,188
CR,T,165
Z,T,262
AR,Z,410
AR,J,336
IL,F,721
BS,H,157
OL,G,483
O,GH,431
GH,U,349
R,Z,908
ST,D,184
D,ION,511
K,J,275
PH,U,224
H,RS,127
SH,C,119
T,X,272
L,PR,320
C,J,324
H,G,329
G,V,397
U,HI,133
RS,W,118
I,HI,351
LT,M,157
D,CR,142
Y,J,232
OL,Z,167
J,J,235
BS,L,134
IX,A,154
S,Z,567
Z,K,356
AR,U,943
GH,N,487
BS,Y,178
V,ION,161
L,LT,279
OL,W,348
L,J,269
TH,SH,181
US,Q,93
H,H,269
H,F,822
TH,AR,450
Z,P,151
PH,US,212
V,Q,118
LT,V,89
U,IX,99
J,B,178
V,IX,138
C,SH,106
HI,BS,86
IX,ION,99
SH,IL,380
IL,C,345
Q,S,331
Z,W,386
Q,F,174
B,F,593
US,M,207
J,H,125
M,X,197
W,G,312
Y,OL,285
Z,V,240
US,OL,79
F,RS,200
J,C,266
V,M,442
IL,TH,192
PH,N,157
SH,CR,76
ION,Y,162
R,J,562
X,CR,271
W,Q,73
J,K,273
GH,F,182
J,F,184
F,K,193
F,J,186
CR,B,72
H,V,188
PR,S,113
ION,L,211
RS,V,148
GH,G,144
X,S,503
V,US,163
M,J,215
LT,W,146
V,T,240
C,PH,170
V,G,222
Z,ST,66
M,Z,280
K,V,279
IX,S,101
ION,O,103
HI,SH,186
M,ION,187
K,US,346
Q,PR,64
B,HI,133
T,J,185
S,RS,144
Z,F,163
H,PH,76
HI,RS,120
J,M,314
V,N,151
Q,E,140
A,IX,88
G,Z,176
S,X,210
HI,F,189
P,J,172
ION,M,107
J,Y,78
B,RS,58
M,CR,80
LT,T,68
ST,ST,58
H,J,72
J,V,167
SH,K,251
O,IX,92
ST,US,111
Q,T,134
PH,TH,307
F,H,230
Y,X,216
S,SH,287
IX,ST,54
PR,T,54
S,J,471
RS,L,292
IL,OL,109
K,HI,177
